settings,model,acc,roc,f1,precision,recall,specificity,acc_sd,f1_sd,prec_sd,rec_sd,roc_sd,spec_sd
ET_Basic,RandomForest,0.59,0.64,0.55,0.57,0.57,0.6,0.03,0.03,0.04,0.04,0.03,0.05
ET_Basic,GausNaiveBayes,0.65,0.7,0.65,0.62,0.71,0.59,0.02,0.03,0.03,0.04,0.02,0.03
ET_Basic,LogReg,0.64,0.68,0.61,0.65,0.62,0.67,0.02,0.02,0.03,0.02,0.03,0.03
Eye_Reading,RandomForest,0.66,0.75,0.61,0.66,0.61,0.72,0.03,0.03,0.04,0.03,0.02,0.04
Eye_Reading,GausNaiveBayes,0.63,0.7,0.51,0.67,0.43,0.81,0.01,0.03,0.06,0.03,0.02,0.03
Eye_Reading,LogReg,0.66,0.7,0.6,0.67,0.57,0.75,0.01,0.02,0.03,0.02,0.02,0.02
overall,RandomForest,0.75,0.83,0.71,0.77,0.68,0.82,0.01,0.03,0.02,0.04,0.01,0.01
overall,GausNaiveBayes,0.74,0.79,0.71,0.75,0.69,0.78,0.01,0.02,0.03,0.02,0.01,0.03
overall,LogReg,0.74,0.8,0.7,0.74,0.69,0.77,0.02,0.02,0.03,0.03,0.02,0.03
Eye,RandomForest,0.68,0.73,0.63,0.66,0.64,0.7,0.02,0.03,0.02,0.05,0.03,0.04
Eye,GausNaiveBayes,0.59,0.64,0.61,0.55,0.73,0.46,0.02,0.02,0.02,0.04,0.03,0.03
Eye,LogReg,0.61,0.66,0.57,0.61,0.58,0.66,0.02,0.02,0.04,0.02,0.02,0.03
Reading,RandomForest,0.73,0.79,0.7,0.74,0.68,0.77,0.02,0.02,0.03,0.03,0.02,0.03
Reading,GausNaiveBayes,0.68,0.75,0.56,0.78,0.47,0.87,0.01,0.02,0.03,0.02,0.01,0.01
Reading,LogReg,0.71,0.77,0.66,0.74,0.62,0.8,0.02,0.03,0.04,0.04,0.02,0.04
CookieTheft,RandomForest,0.72,0.78,0.69,0.72,0.69,0.74,0.02,0.02,0.03,0.03,0.02,0.04
CookieTheft,GausNaiveBayes,0.63,0.72,0.65,0.6,0.75,0.52,0.01,0.01,0.01,0.03,0.01,0.02
CookieTheft,LogReg,0.69,0.74,0.66,0.67,0.67,0.69,0.02,0.02,0.02,0.03,0.02,0.02
Language,RandomForest,0.67,0.74,0.64,0.68,0.64,0.7,0.02,0.03,0.02,0.04,0.02,0.03
Language,GausNaiveBayes,0.66,0.72,0.67,0.64,0.75,0.58,0.01,0.02,0.02,0.03,0.02,0.02
Language,LogReg,0.69,0.75,0.67,0.67,0.69,0.69,0.02,0.03,0.03,0.04,0.02,0.03
Memory,RandomForest,0.66,0.74,0.61,0.67,0.6,0.71,0.01,0.02,0.03,0.01,0.01,0.03
Memory,GausNaiveBayes,0.69,0.77,0.64,0.71,0.6,0.77,0.01,0.02,0.02,0.03,0.02,0.02
Memory,LogReg,0.64,0.69,0.61,0.63,0.63,0.64,0.03,0.03,0.03,0.04,0.02,0.03
PupilCalib,RandomForest,0.58,0.63,0.54,0.55,0.56,0.6,0.03,0.03,0.03,0.04,0.04,0.04
PupilCalib,GausNaiveBayes,0.65,0.69,0.65,0.62,0.72,0.59,0.02,0.03,0.03,0.04,0.03,0.02
PupilCalib,LogReg,0.64,0.66,0.6,0.63,0.62,0.67,0.02,0.03,0.02,0.03,0.03,0.03
NLP_Reading,RandomForest,0.73,0.78,0.7,0.73,0.69,0.77,0.01,0.01,0.02,0.01,0.01,0.02
NLP_Reading,GausNaiveBayes,0.67,0.78,0.55,0.78,0.45,0.88,0.01,0.02,0.04,0.02,0.03,0.02
NLP_Reading,LogReg,0.72,0.76,0.68,0.73,0.66,0.77,0.03,0.04,0.03,0.04,0.02,0.03
Audio,RandomForest,0.66,0.74,0.61,0.66,0.59,0.71,0.01,0.02,0.03,0.02,0.02,0.04
Audio,GausNaiveBayes,0.69,0.76,0.63,0.7,0.59,0.77,0.01,0.01,0.02,0.02,0.01,0.02
Audio,LogReg,0.64,0.69,0.62,0.63,0.62,0.65,0.03,0.03,0.03,0.03,0.03,0.03
